1,1,{卡扎菲之死标志着利比亚局势进入了新阶段}
2,1,{10月11日 在利比亚苏尔特 反卡扎菲武装成员发射短程Grad火箭弹的瞬间}
3,1,{利比亚“全国过渡委员会”一名军方指挥官２０日告诉新华社记者 卡扎菲已被俘获 [吃惊]}
4,1,{一条汉子 致死没有离开他热爱的家乡 兑现了自己的承诺 2011年10月20日 利比亚执前领导人卡扎菲在其家乡苏尔特被捕后因伤重死亡 沙漠之子卡扎菲最终死于沙漠.}
5,1,{【北约26日将宣布是否撤军】 英国路透社10月26日消息说 北约将于本月26日正式宣布是否结束在利比亚的军事行动  报道说 由于利比亚前领导人卡扎菲已死 利比亚过渡委也宣布解放了利比亚全国 北约即将于26日决...}
5,2,{   }
6,1,{如果卡扎菲被俘不治身亡 那么 利比亚问题只是一个开始.}
7,1,{利比亚“过渡委”一号人物贾利勒在宣布利比亚全境“解放”的同时 提出了一项震惊利比亚和国际社会的主张——在利比亚恢复被卡扎菲废除的“一夫多妻”制 [风扇]男人赞成 这是对士兵的最大奖赏;}
7,2,{女人反对 我们为何要回到公元7世纪？}
7,3,{ 非政府组织 这是一种巨大的讽刺.}
8,1,{利比亚“全国过渡委员会”新闻发言人古贾与利比亚军事委员会主席贝尔哈吉(Abdul Hakim Belhaj)分别证实 卡扎菲在其家乡苏尔特被捕后因伤重死亡 }
9,1,{卡扎菲治下利比亚人的福利 1、公民免费用电；}
9,2,{ 2、银行属于国有 按照法律公民可无息贷款；}
9,3,{ 3、住宅、家庭被视为人的权利；}
9,4,{ 4、所有的新婚夫妻都由政府提供5万美元 以帮助他们购买首套住房并建立家庭；}
9,5,{ 5、教育和医疗免费 在卡扎非当政前只有25%人不是文盲 而卡扎非当政后的今天则有83%的不是文盲；}
10,1,{   卡扎菲杀人证据没找到 反对派杀人证据一堆一堆的 这就是北约支持下的利比亚革命 }
11,1,{CNN 利比亚电视台正播放卡扎菲被抓获的消息 首都的黎波里一片欢腾 }
12,1,{我这一生见证了多少大事？……}
12,2,{苏联解体、苏共倒台、东欧巨变、两德统一、台湾完成政党轮替……}
12,3,{缅甸民主、不丹民主、埃及民主、也门民主、叙利亚民主、利比亚民主……}
12,4,{齐奥塞斯库被擒、萨达姆被擒、卡拉季奇被擒、卡扎菲被擒……}
12,5,{我想我还能见证若干更重要的大事 对此 我毫不怀疑 }
13,1,{#卡扎菲#已注意到卡扎菲死亡的报道 我们关注利比亚政局走向 希望继续发展与利比亚友好关系 需要指出的是 利比亚政局是利比亚内部事务 利比亚问题最终要由利比亚人民自己解决 不愿看到外部势力介入利比亚内政 我们也希望利比亚政局恢复稳定 尽快重建 饱受战争之苦利比亚人民早日安居乐业 }
14,1,{卡扎菲死了 利比亚还在 }
15,1,{悲剧了 金家应该早上供  从这个所谓军事战略分析家张将军以往对萨达姆和卡扎菲的预言来看 朝鲜还真的会玩鸟 //}
15,2,{   他总是正话反说  //}
